model_id,org,launch_date,evidence_url,evidence_title,evidence_published_date,evidence_type,judge_status,notes,updated_at_utc
mistralai/mistral-large-2512,mistralai,2025-12-02,https://docs.mistral.ai/getting-started/changelog/,Changelog - Mistral AI Documentation,2025-12-02,changelog,accepted,Date is from the dated changelog entry that explicitly names the model ID.,2026-02-27T13:54:53Z
moonshotai/kimi-k2.5,moonshotai,2026-01-27,https://www.kimi.com/ai-models/kimi-k2-5,"Kimi K2.5: AI That Sees, Codes, and Works Like an Expert",2026-01-27,docs_release_note,accepted,Release date is explicitly stated on Kimi's official model page; parsed page content did not expose a separate publication timestamp.,2026-02-27T13:54:53Z
openai/gpt-4.1,openai,2025-04-14,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-14,changelog,accepted,Dated changelog includes gpt-4.1 by name.,2026-02-27T13:54:53Z
openai/gpt-4o,openai,2024-05-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-05-13,changelog,accepted,Explicit dated launch entry for GPT-4o API availability.,2026-02-27T13:54:53Z
openai/gpt-4o-2024-08-06,openai,2024-08-06,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-08-06,changelog,accepted,Exact snapshot ID is explicitly listed with date.,2026-02-27T13:54:53Z
openai/gpt-4o-mini,openai,2024-07-18,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-07-18,changelog,accepted,Explicit dated launch entry for gpt-4o-mini.,2026-02-27T13:54:53Z
openai/gpt-4o-mini-2024-07-18,openai,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,GPT-4o mini: advancing cost-efficient intelligence | OpenAI,2024-07-18,announcement_blog,accepted,"No explicit publication date is shown on the snapshot listing page, and no separate dated launch post for this exact snapshot ID was found. Backfilled from first-party launch post plus first-party model snapshot listing.",2026-02-27T13:54:53Z
openai/gpt-5,openai,2025-08-07,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-08-07,changelog,accepted,Dated launch entry includes gpt-5 explicitly.,2026-02-27T13:54:53Z
openai/gpt-5-chat,openai,2025-08-07,https://openai.com/index/introducing-gpt-5-for-developers/,Introducing GPT-5 for developers | OpenAI,2025-08-07,announcement_blog,accepted,No separate dated launch entry for exact ID gpt-5-chat was found; first-party docs expose gpt-5-chat-latest alias without explicit publish date. Backfilled from first-party OpenAI launch post with explicit date and alias mention.,2026-02-27T13:54:53Z
openai/gpt-5-codex,openai,2025-09-15,https://openai.com/index/introducing-upgrades-to-codex/,Introducing upgrades to Codex | OpenAI,2025-09-15,announcement_blog,accepted,"Predates API changelog rollout entry (Sep 23, 2025).",2026-02-27T13:54:53Z
openai/gpt-5.1,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,changelog,accepted,Dated API launch entry includes gpt-5.1 explicitly.,2026-02-27T13:54:53Z
openai/gpt-5.1-chat,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,changelog,accepted,First-party dated alias found as gpt-5.1-chat-latest; no separate dated slug for gpt-5.1-chat.,2026-02-27T13:54:53Z
openai/gpt-5.1-codex,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,changelog,accepted,Exact model ID appears in dated launch entry.,2026-02-27T13:54:53Z
openai/gpt-5.2,openai,2025-12-11,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-12-11,changelog,accepted,Dated launch entry includes gpt-5.2 explicitly.,2026-02-27T13:54:53Z
openai/gpt-5.2-chat,openai,2025-12-10,https://openai.com/index/introducing-gpt-5-2/,Introducing GPT-5.2 | OpenAI,2025-12-10,announcement_blog,accepted,User-requested launch date for gpt-5.2-chat so benchmark age plots include this variant.,2026-03-02T16:20:00Z
openai/gpt-5.2-codex,openai,2025-12-18,https://openai.com/index/introducing-gpt-5-2-codex/,Introducing GPT-5.2-Codex | OpenAI,2025-12-18,announcement_blog,accepted,"Earlier model announcement than API changelog deployment (Jan 14, 2026).",2026-02-27T13:54:53Z
openai/gpt-5.3-chat,openai,2026-03-04,https://openrouter.ai/openai/gpt-5.3-chat,OpenRouter model listing: openai/gpt-5.3-chat,2026-03-04,provider_catalog,accepted,User-requested manual release date override for charting.,2026-03-04T00:07:01Z
openai/gpt-5.3-codex,openai,2026-02-05,https://openai.com/index/introducing-gpt-5-3-codex/,Introducing GPT-5.3-Codex | OpenAI,2026-02-05,announcement_blog,accepted,"Earlier than API changelog rollout entry on Feb 24, 2026.",2026-02-27T13:54:53Z
openai/gpt-oss-120b,openai,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Introducing gpt-oss | OpenAI,2025-08-05,announcement_blog,accepted,Exact model name appears in first-party launch announcement.,2026-02-27T13:54:53Z
openai/o3,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-16,changelog,accepted,Dated API launch entry explicitly names o3.,2026-02-27T13:54:53Z
openai/o4-mini,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-16,changelog,accepted,Dated API launch entry explicitly names o4-mini.,2026-02-27T13:54:53Z
prime-intellect/intellect-3,prime-intellect,2025-11-26,https://www.primeintellect.ai/blog/launching-intellect-3,Introducing INTELLECT-3: The First Global Foundation Model,2025-11-26,announcement_blog,accepted,Blog post is first-party and includes both explicit date and release statement.,2026-02-27T13:54:53Z
qwen/qwen3.5-397b-a17b,qwen,2026-02-17,https://www.alibabacloud.com/blog/602894,Qwen3.5: Towards Native Multimodal Agents,2026-02-17,announcement_blog,accepted,Alibaba Cloud official post explicitly announces release and names Qwen3.5-397B-A17B.,2026-02-27T13:54:53Z
x-ai/grok-4.1-fast,x-ai,2025-11-19,https://x.ai/news/grok-4-1-fast,Grok 4.1 Fast,2025-11-19,newsroom,accepted,xAI news post explicitly dates and announces the launch.,2026-02-27T13:54:53Z
xiaomi/mimo-v2-flash,xiaomi,2025-12-16,https://mimo.xiaomi.com/blog/mimo-v2-flash,Introducing MiMo-V2-Flash | Xiaomi MiMo,2025-12-16,announcement_blog,accepted,First-party Xiaomi MiMo page with explicit date and launch statement.,2026-02-27T13:54:53Z
z-ai/glm-5,z-ai,2026-02-12,https://docs.z.ai/release-notes/new-released,New Released - Overview - Z.AI DEVELOPER DOCUMENT,2026-02-12,docs_release_note,accepted,Official Z.AI release-notes page lists GLM-5 with explicit date.,2026-02-27T13:54:53Z
